track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,artist,album
6G4ICKUrsPb117ULGyrQ5N,other,0.742,0.92,7,-5.365,1,0.108,0.00169,2.51e-05,0.0581,0.932,154.939,audio_features,spotify:track:6G4ICKUrsPb117ULGyrQ5N,https://api.spotify.com/v1/tracks/6G4ICKUrsPb117ULGyrQ5N,https://api.spotify.com/v1/audio-analysis/6G4ICKUrsPb117ULGyrQ5N,100122,4,Lay Bankz,Na Na Na
7dUrhEQguPAglRgnACCzYw,other,0.824,0.381,1,-7.372,1,0.0889,0.000497,0.000542,0.14,0.46,108.003,audio_features,spotify:track:7dUrhEQguPAglRgnACCzYw,https://api.spotify.com/v1/tracks/7dUrhEQguPAglRgnACCzYw,https://api.spotify.com/v1/audio-analysis/7dUrhEQguPAglRgnACCzYw,194438,4,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES
7ub14NqqyR1MDUTXyFBTzO,other,0.776,0.716,2,-4.897,1,0.0836,0.114,0.00711,0.327,0.827,139.977,audio_features,spotify:track:7ub14NqqyR1MDUTXyFBTzO,https://api.spotify.com/v1/tracks/7ub14NqqyR1MDUTXyFBTzO,https://api.spotify.com/v1/audio-analysis/7ub14NqqyR1MDUTXyFBTzO,232807,4,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES
2KBOfdbo1WlLsPI87RrqPH,other,0.556,0.73,11,-7.1,1,0.0294,3.9e-05,0.821,0.091,0.0689,127.516,audio_features,spotify:track:2KBOfdbo1WlLsPI87RrqPH,https://api.spotify.com/v1/tracks/2KBOfdbo1WlLsPI87RrqPH,https://api.spotify.com/v1/audio-analysis/2KBOfdbo1WlLsPI87RrqPH,337406,4,Vessel,"Punish, Honey"
6dwlHvRmOZz19goeyxMd8S,other,0.515,0.434,9,-16.158,1,0.0311,0.0247,0.883,0.0938,0.659,141.212,audio_features,spotify:track:6dwlHvRmOZz19goeyxMd8S,https://api.spotify.com/v1/tracks/6dwlHvRmOZz19goeyxMd8S,https://api.spotify.com/v1/audio-analysis/6dwlHvRmOZz19goeyxMd8S,159387,4,The Autocollants,Why Couldn't Things Just Stay The Same
1eB0AAGf5hx1HCWogHPeW0,other,0.827,0.635,10,-6.459,0,0.37,0.0896,0.0,0.124,0.145,159.052,audio_features,spotify:track:1eB0AAGf5hx1HCWogHPeW0,https://api.spotify.com/v1/tracks/1eB0AAGf5hx1HCWogHPeW0,https://api.spotify.com/v1/audio-analysis/1eB0AAGf5hx1HCWogHPeW0,198557,4,Beatdemons,Fundip
6pEXMjuxvYfBTHjxqBH0XR,other,0.655,0.642,4,-6.083,1,0.188,0.459,0.0,0.11,0.503,191.972,audio_features,spotify:track:6pEXMjuxvYfBTHjxqBH0XR,https://api.spotify.com/v1/tracks/6pEXMjuxvYfBTHjxqBH0XR,https://api.spotify.com/v1/audio-analysis/6pEXMjuxvYfBTHjxqBH0XR,111197,4,Curly J,KING OF MELODIES
62DOQC3exqebSVLWyN2mWa,other,0.691,0.718,7,-7.076,1,0.07,0.0103,0.0632,0.156,0.34,158.924,audio_features,spotify:track:62DOQC3exqebSVLWyN2mWa,https://api.spotify.com/v1/tracks/62DOQC3exqebSVLWyN2mWa,https://api.spotify.com/v1/audio-analysis/62DOQC3exqebSVLWyN2mWa,459072,4,Cash Cobain,PLAY CASH COBAIN
62ZYyXIsHVX5xVUj80arVu,other,0.485,0.262,7,-13.286,1,0.0263,0.978,5.99e-05,0.117,0.332,98.536,audio_features,spotify:track:62ZYyXIsHVX5xVUj80arVu,https://api.spotify.com/v1/tracks/62ZYyXIsHVX5xVUj80arVu,https://api.spotify.com/v1/audio-analysis/62ZYyXIsHVX5xVUj80arVu,162413,4,The Magnetic Fields,69 Love Songs
6VcMW7kzDSfFdMK6YkRkP5,other,0.739,0.929,1,-6.918,1,0.0392,0.00149,0.856,0.34,0.73,111.016,audio_features,spotify:track:6VcMW7kzDSfFdMK6YkRkP5,https://api.spotify.com/v1/tracks/6VcMW7kzDSfFdMK6YkRkP5,https://api.spotify.com/v1/audio-analysis/6VcMW7kzDSfFdMK6YkRkP5,64510,4,dj Shawny,Bombs Away (Throwback Cypher)
1Tp4xz7ybZ3dtQc6yBs3m4,other,0.253,0.629,1,-11.676,1,0.0383,0.000166,0.843,0.285,0.0503,127.929,audio_features,spotify:track:1Tp4xz7ybZ3dtQc6yBs3m4,https://api.spotify.com/v1/tracks/1Tp4xz7ybZ3dtQc6yBs3m4,https://api.spotify.com/v1/audio-analysis/1Tp4xz7ybZ3dtQc6yBs3m4,364436,4,Vessel,Red Sex (Re-Strung) [feat. Rakhi Singh]
558OkRc07xtIAkKu9iXGQg,other,0.691,0.718,7,-7.076,1,0.07,0.0103,0.0632,0.156,0.34,158.924,audio_features,spotify:track:558OkRc07xtIAkKu9iXGQg,https://api.spotify.com/v1/tracks/558OkRc07xtIAkKu9iXGQg,https://api.spotify.com/v1/audio-analysis/558OkRc07xtIAkKu9iXGQg,459072,4,Cash Cobain,problem
